Time,clock.secs,clock.nsecs
23.472409982,23,472409982
23.522409982,23,522409982
23.572409983,23,572409983
23.622409984,23,622409984
23.672409985,23,672409985
23.722409985,23,722409985
23.772409986,23,772409986
23.822409987,23,822409987
23.872409988,23,872409988
23.922409988,23,922409988
23.972409989,23,972409989
24.02240999,24,22409990
24.072409991,24,72409991
24.122409991,24,122409991
24.172409992,24,172409992
24.222409993,24,222409993
24.272409994,24,272409994
24.322409994,24,322409994
24.372409995,24,372409995
24.422409996,24,422409996
24.472409997,24,472409997
24.522409997,24,522409997
24.572409998,24,572409998
24.622409999,24,622409999
24.67241,24,672410000
24.72241,24,722410000
24.772410001,24,772410001
24.822410002,24,822410002
24.872410003,24,872410003
24.922410003,24,922410003
24.972410004,24,972410004
25.022410005,25,22410005
25.072410006,25,72410006
25.122410006,25,122410006
25.172410007,25,172410007
25.172410007,25,222410008
25.222410008,25,272410009
25.272410009,25,322410009
25.37241001,25,372410010
25.422410011,25,422410011
25.472410012,25,472410012
25.522410012,25,522410012
25.572410013,25,572410013
25.622410014,25,622410014
25.672410015,25,672410015
25.722410015,25,722410015
25.772410016,25,772410016
25.822410017,25,822410017
25.872410017,25,872410017
25.922410018,25,922410018
25.972410019,25,972410019
26.02241002,26,22410020
26.07241002,26,72410020
26.122410021,26,122410021
26.172410022,26,172410022
26.222410023,26,222410023
26.272410023,26,272410023
26.322410024,26,322410024
26.372410025,26,372410025
26.422410026,26,422410026
26.422410026,26,472410026
26.472410026,26,522410027
26.572410028,26,572410028
26.622410029,26,622410029
26.672410029,26,672410029
26.72241003,26,722410030
26.772410031,26,772410031
26.822410032,26,822410032
26.872410032,26,872410032
26.922410033,26,922410033
26.972410034,26,972410034
27.022410035,27,22410035
27.072410035,27,72410035
27.122410036,27,122410036
27.172410037,27,172410037
27.222410038,27,222410038
27.272410038,27,272410038
27.322410039,27,322410039
27.37241004,27,372410040
27.422410041,27,422410041
27.472410041,27,472410041
27.522410042,27,522410042
27.572410043,27,572410043
27.622410044,27,622410044
27.622410044,27,672410044
27.722410045,27,722410045
27.772410046,27,772410046
27.822410047,27,822410047
27.872410047,27,872410047
27.922410048,27,922410048
27.972410049,27,972410049
28.02241005,28,22410050
28.07241005,28,72410050
28.122410051,28,122410051
28.172410052,28,172410052
28.222410053,28,222410053
28.272410053,28,272410053
28.322410054,28,322410054
28.372410055,28,372410055
28.422410055,28,422410055
28.472410056,28,472410056
28.522410057,28,522410057
28.572410058,28,572410058
28.622410058,28,622410058
28.672410059,28,672410059
28.72241006,28,722410060
28.772410061,28,772410061
28.822410061,28,822410061
28.872410062,28,872410062
28.922410063,28,922410063
28.972410064,28,972410064
29.022410064,29,22410064
29.072410065,29,72410065
29.122410066,29,122410066
29.172410067,29,172410067
29.222410067,29,222410067
29.272410068,29,272410068
29.272410068,29,322410069
29.37241007,29,372410070
29.42241007,29,422410070
29.472410071,29,472410071
29.522410072,29,522410072
29.572410073,29,572410073
29.622410073,29,622410073
29.672410074,29,672410074
29.672410074,29,722410075
29.772410076,29,772410076
29.822410076,29,822410076
29.872410077,29,872410077
29.922410078,29,922410078
29.972410079,29,972410079
30.022410079,30,22410079
30.022410079,30,72410080
30.07241008,30,122410081
30.172410082,30,172410082
30.222410082,30,222410082
30.272410083,30,272410083
30.322410084,30,322410084
30.372410085,30,372410085
30.422410085,30,422410085
30.472410086,30,472410086
30.522410087,30,522410087
30.572410088,30,572410088
30.622410088,30,622410088
30.672410089,30,672410089
30.72241009,30,722410090
30.772410091,30,772410091
30.822410091000002,30,822410091
30.822410091000002,30,872410092
30.922410093,30,922410093
30.972410093,30,972410093
31.022410094,31,22410094
31.072410095,31,72410095
31.122410096,31,122410096
31.172410096,31,172410096
31.222410097,31,222410097
31.272410098,31,272410098
31.272410098,31,322410099
31.372410099,31,372410099
31.4224101,31,422410100
31.472410101,31,472410101
31.522410102,31,522410102
31.572410102,31,572410102
31.622410103,31,622410103
31.622410103,31,672410104
31.722410105,31,722410105
31.772410105,31,772410105
31.822410106,31,822410106
31.872410107,31,872410107
31.922410108,31,922410108
31.972410108,31,972410108
32.022410109,32,22410109
32.07241011,32,72410110
32.122410111,32,122410111
32.172410111,32,172410111
32.172410111,32,222410112
32.272410113,32,272410113
32.322410114,32,322410114
32.372410114,32,372410114
32.422410115,32,422410115
32.422410115,32,472410116
32.522410117,32,522410117
32.572410117,32,572410117
32.622410118,32,622410118
32.672410119,32,672410119
32.72241012,32,722410120
32.77241012,32,772410120
32.822410121,32,822410121
32.872410122,32,872410122
32.922410123,32,922410123
32.972410123,32,972410123
33.022410124,33,22410124
33.072410125,33,72410125
33.122410126,33,122410126
33.172410126,33,172410126
33.222410127,33,222410127
33.272410128,33,272410128
33.322410129,33,322410129
33.372410129,33,372410129
33.42241013,33,422410130
33.472410131,33,472410131
33.472410131,33,522410131
33.572410132,33,572410132
33.622410133,33,622410133
33.672410134,33,672410134
33.722410134,33,722410134
33.772410135,33,772410135
33.822410136,33,822410136
33.872410137,33,872410137
33.922410137,33,922410137
33.972410138,33,972410138
34.022410139,34,22410139
34.07241014,34,72410140
34.07241014,34,122410140
34.172410141,34,172410141
34.222410142,34,222410142
34.272410143,34,272410143
34.322410143,34,322410143
34.372410144,34,372410144
34.422410145,34,422410145
34.472410146,34,472410146
34.522410146,34,522410146
34.572410147,34,572410147
34.622410148,34,622410148
34.672410149,34,672410149
34.722410149,34,722410149
34.77241015,34,772410150
34.822410151,34,822410151
34.872410152,34,872410152
34.922410152,34,922410152
34.972410153,34,972410153
35.022410154,35,22410154
35.072410155,35,72410155
35.122410155,35,122410155
35.122410155,35,172410156
35.222410157,35,222410157
35.272410158,35,272410158
35.322410158,35,322410158
35.372410159,35,372410159
35.42241016,35,422410160
35.472410161,35,472410161
35.522410161,35,522410161
35.572410162,35,572410162
35.622410163,35,622410163
35.672410164,35,672410164
35.722410164,35,722410164
35.772410165,35,772410165
35.822410166,35,822410166
35.872410167,35,872410167
35.922410167,35,922410167
35.922410167,35,972410168
36.022410169,36,22410169
36.072410169,36,72410169
36.12241017,36,122410170
36.172410171,36,172410171
36.222410172,36,222410172
36.222410172,36,272410172
36.322410173,36,322410173
36.372410174,36,372410174
36.422410175,36,422410175
36.472410175,36,472410175
36.522410176,36,522410176
36.572410177,36,572410177
36.622410178,36,622410178
36.672410178,36,672410178
36.722410179,36,722410179
36.77241018,36,772410180
36.822410181,36,822410181
36.872410181,36,872410181
36.922410182,36,922410182
36.972410183,36,972410183
37.022410184,37,22410184
37.072410184,37,72410184
37.122410185,37,122410185
37.172410186,37,172410186
37.222410187,37,222410187
37.272410187,37,272410187
37.322410188,37,322410188
37.322410188,37,372410189
37.42241019,37,422410190
37.47241019,37,472410190
37.522410191,37,522410191
37.572410192,37,572410192
37.572410192,37,622410193
37.672410193,37,672410193
37.722410194,37,722410194
37.772410195,37,772410195
37.822410196,37,822410196
37.872410196,37,872410196
37.922410197,37,922410197
37.972410198,37,972410198
37.972410198,38,22410199
38.072410199,38,72410199
38.1224102,38,122410200
38.172410201,38,172410201
38.222410202,38,222410202
38.272410202,38,272410202
38.322410203,38,322410203
38.372410204,38,372410204
38.422410205,38,422410205
38.472410205,38,472410205
38.522410206,38,522410206
38.522410206,38,572410207
38.622410207,38,622410207
38.672410208,38,672410208
38.722410209,38,722410209
38.77241021,38,772410210
38.82241021,38,822410210
38.872410211,38,872410211
38.922410212,38,922410212
38.972410213,38,972410213
39.022410213,39,22410213
39.022410213,39,72410214
39.122410215,39,122410215
39.172410216,39,172410216
39.222410216,39,222410216
39.272410217,39,272410217
39.322410218,39,322410218
39.372410219,39,372410219
39.422410219,39,422410219
39.47241022,39,472410220
39.522410221,39,522410221
39.572410222,39,572410222
39.622410222,39,622410222
39.672410223,39,672410223
39.722410224,39,722410224
39.772410225,39,772410225
39.822410225,39,822410225
39.872410226,39,872410226
39.922410227,39,922410227
39.972410228,39,972410228
40.022410228,40,22410228
40.072410229,40,72410229
40.12241023,40,122410230
40.172410231,40,172410231
40.222410231,40,222410231
40.272410232,40,272410232
40.322410233,40,322410233
40.372410234,40,372410234
40.422410234,40,422410234
40.472410235,40,472410235
40.522410236,40,522410236
40.572410237,40,572410237
40.622410237,40,622410237
40.672410238,40,672410238
40.722410239,40,722410239
40.77241024,40,772410240
40.82241024,40,822410240
40.872410241,40,872410241
40.922410242,40,922410242
40.922410242,40,972410243
41.022410243,41,22410243
41.072410244,41,72410244
41.122410245,41,122410245
41.172410245,41,172410245
41.222410246,41,222410246
41.272410247,41,272410247
41.322410248,41,322410248
41.322410248,41,372410248
41.422410249,41,422410249
41.47241025,41,472410250
41.522410251,41,522410251
41.572410251,41,572410251
41.622410252,41,622410252
41.672410253,41,672410253
41.722410254,41,722410254
41.722410254,41,772410254
41.772410254,41,822410255
41.872410256,41,872410256
41.922410257,41,922410257
41.972410257,41,972410257
42.022410258,42,22410258
42.072410259,42,72410259
42.12241026,42,122410260
42.17241026,42,172410260
42.222410261,42,222410261
42.272410262,42,272410262
42.322410263,42,322410263
42.372410263,42,372410263
42.422410264,42,422410264
42.472410265,42,472410265
42.522410266,42,522410266
42.572410266,42,572410266
42.622410267,42,622410267
42.672410268,42,672410268
42.722410269,42,722410269
42.772410269,42,772410269
42.82241027,42,822410270
42.872410271,42,872410271
42.922410272,42,922410272
42.972410272,42,972410272
43.022410273,43,22410273
43.072410274,43,72410274
43.072410274,43,122410275
43.172410275,43,172410275
43.172410275,43,222410276
43.272410277,43,272410277
43.322410278,43,322410278
